effect_type,effect_label,feature,feature_label,feature_family,mean_chatgpt_raw,mean_xai_raw,mean_chatgpt_standardized,mean_xai_standardized,abs_standardized_model_gap,n_pairs,mean_chatgpt,mean_xai,mean_difference_xai_minus_chatgpt,median_difference_xai_minus_chatgpt,sd_difference,se_difference,ci95_low,ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,paired_t_statistic,paired_t_p_value,cohens_dz,wilcoxon_statistic,wilcoxon_p_value,holm_adjusted_p_all_features,bh_fdr_p_all_features
lighting_warm_minus_cool,Warm practical minus cool ambient,shadow_lab_a,shadow_lab_a,color,-0.015974575938243005,0.05989728573088845,-0.0052235642758545996,0.019585954780527097,0.02480951905638169,72,-0.015974575938243005,0.05989728573088845,0.07587186166913146,0.46726325806230307,3.665071961373941,0.43193287290403237,-0.7853778256123713,0.9371215489506344,-0.7886008836409827,0.8748529096593192,0.17565660413623763,0.8610637512352306,0.020701329324155766,1136.0,0.31785212804749674,1.0,0.9441755743123802
scan_pushed_minus_clean,Pushed scan minus clean scan,local_lab_cov_a_b_p90_abs,local_lab_cov_a_b_p90_abs,color,4.952717789120364,3.8854828037732165,0.11426392409365753,0.08964179488135275,0.024622129212304812,72,4.952717789120364,3.8854828037732165,-1.0672349853471474,1.3415426864752815,51.405673996152636,6.058216779024083,-13.146976152853306,11.012506182159012,-12.615175666062983,11.183071526163623,-0.17616322166653603,0.8606672190071761,-0.020761034772679425,1264.0,0.7790289722089023,1.0,0.9441755743123802
scan_pushed_minus_clean,Pushed scan minus clean scan,lab_cov_l_a,lab_cov_l_a,color,6.0172930608436195,4.85903935301824,0.12699158619382872,0.10254729304002201,0.024444293153806734,72,6.0172930608436195,4.85903935301824,-1.1582537078253792,-1.3923627369051275,55.22872309013665,6.508767435551614,-14.136367368793099,11.819859953142341,-13.683991613665617,12.060846059193127,-0.17795284887563634,0.8592667561362294,-0.020971944361904554,1250.0,0.7194840883749505,1.0,0.9441755743123802
filmstock_cinestill_minus_portra,CineStill minus Portra,rgb_corr_g_b,rgb_corr_g_b,color,0.0016869474110195182,0.0009624014307519928,0.05672411429985527,0.032361037696680556,0.02436307660317472,72,0.0016869474110195182,0.0009624014307519928,-0.0007245459802675254,0.00036193029181441627,0.03540595963426447,0.004172632358634264,-0.009044538598224365,0.007595446637689315,-0.008966170819920476,0.007613467526951918,-0.17364241993863921,0.8626406167244789,-0.020463955440042328,1281.0,0.8530832397640323,1.0,0.9441755743123802
lighting_warm_minus_cool,Warm practical minus cool ambient,midtone_saturation,midtone_saturation,color,0.1563677726727393,0.15934178895420498,1.2543160286056738,1.278172327300827,0.023856298695152964,72,0.1563677726727393,0.15934178895420498,0.002974016281465689,0.025588393211364746,0.1606303381970101,0.018930466900565726,-0.034772262645138476,0.04072029520806985,-0.033714327355846764,0.039225916655009796,0.15710210937147107,0.8756102790451578,0.018514661145879643,1196.0,0.5078559783904282,1.0,0.9485778022989209
filmstock_cinestill_minus_portra,CineStill minus Portra,shadow_red_excess,shadow_red_excess,color,0.0013439980021859002,0.0021070259560171203,0.039008836079025694,0.061155321658845435,0.022146485579819672,72,0.0013439980021859002,0.0021070259560171203,0.0007630279538312203,0.004092328017577529,0.04682400735317666,0.005518262186959997,-0.010240074335890964,0.011766130243553405,-0.009924758772285713,0.011551472878676982,0.1382732331265998,0.8904159004760206,0.01629565680006785,1228.0,0.6293757739721333,1.0,0.9557675261990313
lighting_warm_minus_cool,Warm practical minus cool ambient,laplacian_variance,Laplacian variance,tone_texture,-0.0003223383496838829,-0.00027116328581339784,-0.13549045785579195,-0.11397972901632457,0.02151072883946737,72,-0.0003223383496838829,-0.00027116328581339784,5.117506387048504e-05,0.00018111581448465586,0.0036041851453687645,0.00042475729282367937,-0.0007957669230993528,0.0008981170508403229,-0.0007813374494920329,0.0008701839359976774,0.12048071860117134,0.9044426509827626,0.014198788854186078,1272.0,0.8136723560910827,1.0,0.9619980924089383
scan_pushed_minus_clean,Pushed scan minus clean scan,lab_corr_l_a,lab_corr_l_a,color,0.003837285355973216,0.009019200182437353,0.015399478083623174,0.036195112600904945,0.020795634517281752,72,0.003837285355973216,0.009019200182437353,0.005181914826464141,-0.037152346417689636,0.3422312419213043,0.04033233864940802,-0.07523848433322677,0.08560231398615506,-0.0711350483871117,0.08389904227663213,0.12848039563260483,0.8981320546561501,0.01514155983355756,1247.0,0.706929189835672,1.0,0.9580877602784083
filmstock_cinestill_minus_portra,CineStill minus Portra,extreme_tail_luma_width,extreme_tail_luma_width,other,-0.02575724886264652,-0.02381621855359602,-0.272568656133785,-0.2520282627993053,0.02054039333447973,72,-0.02575724886264652,-0.02381621855359602,0.0019410303090504992,-0.013581912033259869,0.17190189515234103,0.020258832626839876,-0.03845393464753145,0.04233599526563244,-0.03726475294556116,0.04351895756802453,0.09581155759581772,0.923940155686506,0.011291500348674693,1257.0,0.7490695121743014,1.0,0.9695844131023844
filmstock_cinestill_minus_portra,CineStill minus Portra,highlight_lab_l,highlight_lab_l,color,-7.0131300290425616,-7.226306756337483,-0.6725354778259361,-0.692978405813717,0.020442927987780714,72,-7.0131300290425616,-7.226306756337483,-0.21317672729492188,0.3724708557128906,16.47464958775446,1.94155607352889,-4.084529583408246,3.658176128818402,-4.183935883310107,3.448652349578006,-0.10979684295569221,0.9128802461621002,-0.012939682034474062,1301.0,0.9418443019543234,1.0,0.9639619927884993
filmstock_cinestill_minus_portra,CineStill minus Portra,palette_weighted_pairwise_lab_distance,palette_weighted_pairwise_lab_distance,color,-0.7775551015704322,-0.8174059779809485,-0.39734796922128307,-0.41771265434961113,0.02036468512832806,72,-0.7775551015704322,-0.8174059779809485,-0.039850876410516246,0.14513064317817737,3.8251229403804268,0.4507950616692043,-0.9387106998833858,0.8590089470623534,-0.9077074363412375,0.8214347777575421,-0.08840131536258714,0.9298065910263891,-0.010418194926449315,1309.0,0.9776155192159727,1.0,0.9695844131023844
