group_type,group,n,point_index,PC1,PC2
model_key,xai_grok_imagine,144,5,1.8305405749393153,-0.2848790880449389
model_key,xai_grok_imagine,144,6,1.7792328552223626,-0.29184649742808
model_key,xai_grok_imagine,144,7,1.7278967185055336,-0.2971365571350947
model_key,xai_grok_imagine,144,8,1.6766123200723455,-0.30074100736571807
model_key,xai_grok_imagine,144,9,1.625459734423127,-0.30265422019878907
model_key,xai_grok_imagine,144,10,1.5745188302481923,-0.302873208379581
model_key,xai_grok_imagine,144,11,1.5238691457223608,-0.30139762998404473
model_key,xai_grok_imagine,144,12,1.473589764315541,-0.2982297889526836
model_key,xai_grok_imagine,144,13,1.4237591913132772,-0.2933746314932223
model_key,xai_grok_imagine,144,14,1.3744552312400677,-0.2868397383576923
model_key,xai_grok_imagine,144,15,1.3257548663768348,-0.2786353130059861
model_key,xai_grok_imagine,144,16,1.2777341365622308,-0.2687741656743662
model_key,xai_grok_imagine,144,17,1.230468020465458,-0.2572716933738025
model_key,xai_grok_imagine,144,18,1.1840303185159753,-0.2441458558493671
model_key,xai_grok_imagine,144,19,1.13849353767289,-0.22941714753822307
model_key,xai_grok_imagine,144,20,1.093928778213948,-0.21310856556999558
model_key,xai_grok_imagine,144,21,1.0504056227208882,-0.19524557385948305
model_key,xai_grok_imagine,144,22,1.0079920274345042,-0.17585606334777648
model_key,xai_grok_imagine,144,23,0.966754216149039,-0.15497030845386672
model_key,xai_grok_imagine,144,24,0.9267565768115915,-0.13262091980473212
model_key,xai_grok_imagine,144,25,0.8880615609879821,-0.10884279331771607
model_key,xai_grok_imagine,144,26,0.8507295863520443,-0.08367305571469497
model_key,xai_grok_imagine,144,27,0.8148189423506002,-0.05715100655310801
model_key,xai_grok_imagine,144,28,0.7803856991914079,-0.029318056864364284
model_key,xai_grok_imagine,144,29,0.7474836202961885,-0.0002176644954329232
model_key,xai_grok_imagine,144,30,0.7161640783554257,0.030104733745426437
model_key,xai_grok_imagine,144,31,0.6864759751160059,0.061601793032846075
model_key,xai_grok_imagine,144,32,0.6584656650269476,0.09422433444767464
model_key,xai_grok_imagine,144,33,0.6321768828624312,0.12792142176402144
model_key,xai_grok_imagine,144,34,0.6076506754351403,0.1626404409801271
model_key,xai_grok_imagine,144,35,0.5849253375065366,0.19832718246888104
model_key,xai_grok_imagine,144,36,0.5640363519941358,0.23492592561972025
model_key,xai_grok_imagine,144,37,0.5450163345691432,0.27237952583974656
model_key,xai_grok_imagine,144,38,0.5278949827309565,0.31062950377822635
model_key,xai_grok_imagine,144,39,0.5126990294380438,0.34961613663515434
model_key,xai_grok_imagine,144,40,0.4994522013676044,0.38927855141131606
model_key,xai_grok_imagine,144,41,0.48817518186917663,0.42955481995425093
model_key,xai_grok_imagine,144,42,0.4788855786700448,0.4703820556517098
model_key,xai_grok_imagine,144,43,0.47159789638286176,0.5116965116216354
model_key,xai_grok_imagine,144,44,0.4663235138584194,0.5534336802453521
model_key,xai_grok_imagine,144,45,0.46307066641892236,0.5955283938885538
model_key,xai_grok_imagine,144,46,0.4618444329995117,0.6379149266528297
model_key,xai_grok_imagine,144,47,0.4626467282181086,0.680527096998853
model_key,xai_grok_imagine,144,48,0.4654762993859678,0.7232983710809973
model_key,xai_grok_imagine,144,49,0.47032872846360085,0.766161966632039
model_key,xai_grok_imagine,144,50,0.4771964389590211,0.8090509572357403
model_key,xai_grok_imagine,144,51,0.4860687077575361,0.8518983768245029
model_key,xai_grok_imagine,144,52,0.49693168186461856,0.8946373242389335
model_key,xai_grok_imagine,144,53,0.5097684000357132,0.9372010676860638
model_key,xai_grok_imagine,144,54,0.5245588192592059,0.9795231489331204
model_key,xai_grok_imagine,144,55,0.5412798460512076,1.0215374870741698
model_key,xai_grok_imagine,144,56,0.5599053725132879,1.0631784817076075
model_key,xai_grok_imagine,144,57,0.5804063170968592,1.1043811153633958
model_key,xai_grok_imagine,144,58,0.6027506700105631,1.1450810550201291
model_key,xai_grok_imagine,144,59,0.6269035431997587,1.1852147525534062
model_key,xai_grok_imagine,144,60,0.6528272248200799,1.224719543958686
model_key,xai_grok_imagine,144,61,0.6804812381200034,1.2635337471936903
model_key,xai_grok_imagine,144,62,0.7098224046404891,1.30159675848759
model_key,xai_grok_imagine,144,63,0.7408049116330224,1.3388491469666022
model_key,xai_grok_imagine,144,64,0.7733803835907787,1.3752327474482402
model_key,xai_grok_imagine,144,65,0.8074979577812372,1.4106907512593458
model_key,xai_grok_imagine,144,66,0.8431043636623,1.4451677949360873
model_key,xai_grok_imagine,144,67,0.8801440060579175,1.478610046667433
model_key,xai_grok_imagine,144,68,0.9185590519633602,1.5109652903471402
model_key,xai_grok_imagine,144,69,0.9582895208445861,1.5421830071030007
model_key,xai_grok_imagine,144,70,0.9992733782907282,1.5722144541760663
model_key,xai_grok_imagine,144,71,1.0414466328734613,1.6010127410266803
model_key,xai_grok_imagine,144,72,1.0847434360620203,1.628532902548487
model_key,xai_grok_imagine,144,73,1.129096185037867,1.6547319692761104
model_key,xai_grok_imagine,144,74,1.1744356282484625,1.6795690344768717
model_key,xai_grok_imagine,144,75,1.22069097353535,1.703005318021797
model_key,xai_grok_imagine,144,76,1.2677899986677046,1.7250042269361847
