component,feature,loading
PC2,fft_high_freq_log_power_mean,0.004067939521270713
PC2,palette_entropy_6,0.055276768153825734
PC2,palette_effective_clusters_6,0.05459436540630584
PC2,palette_top1_share,-0.04243394605898517
PC2,palette_top2_share_gap,-0.031189669082183902
PC2,palette_top2_lab_distance,0.06917348184780528
PC2,palette_mean_pairwise_lab_distance,0.11796273861034084
PC2,palette_weighted_pairwise_lab_distance,0.1515582465306023
PC2,palette_within_cluster_lab_rmse,0.1089110998885298
PC2,palette_dominant_lab_l,0.07633933592259287
PC2,palette_dominant_lab_a,0.05313659108019595
PC2,palette_dominant_lab_b,0.06596964927676462
PC2,palette_dominant_lab_chroma,0.05360788699076248
PC3,rgb_mean_r,0.04593603797830958
PC3,rgb_mean_g,0.053465723084284364
PC3,rgb_mean_b,0.014499194341551003
PC3,rgb_sd_r,0.03504408336080925
PC3,rgb_sd_g,-0.01903469232431787
PC3,rgb_sd_b,-0.04261295915518182
PC3,warmth_rgb_mean_r_minus_b,0.03931634116880464
PC3,warmth_rgb_mean_rg_minus_b,0.06576906432318261
PC3,lab_mean_l,0.05106717912454815
PC3,lab_mean_a,-0.05850889180678095
PC3,lab_mean_b,0.0758051738149133
PC3,lab_sd_l,-0.010440970394999463
PC3,lab_sd_a,-0.01913396097538938
PC3,lab_sd_b,0.0435617617825417
PC3,lab_chroma_mean,0.041447309661255025
PC3,saturation_mean,-0.030700884591707868
PC3,saturation_sd,-0.08264556977140733
PC3,value_mean,0.040582370001001
PC3,value_sd,-0.010805943820212657
PC3,luma_mean,0.05012334002055763
PC3,luma_sd,-0.011985583002996056
PC3,luma_p01,0.0399046590711731
PC3,luma_p05,0.0564837749689538
PC3,luma_p50,0.05647347294727182
PC3,luma_p95,-0.0024243368127078034
PC3,luma_p99,0.004316994697153345
PC3,dynamic_range_p95_p05,-0.011453100812911902
PC3,luma_iqr_p75_p25,0.018014283097432988
PC3,rms_contrast,-0.011985583464965822
PC3,michelson_contrast_p95_p05,-0.04624732068214382
PC3,shadow_fraction,-0.041334397048457844
PC3,deep_shadow_fraction,-0.09239458812486033
PC3,highlight_fraction,-0.007883412793924119
PC3,clipped_shadow_fraction,-0.05138919517306401
PC3,clipped_highlight_fraction,0.02040763950632368
PC3,rgb_cov_r_g,0.009031836515107377
PC3,rgb_corr_r_g,0.0320502663525518
PC3,rgb_cov_r_b,-0.017295015745349224
PC3,rgb_corr_r_b,-0.012583372013312766
PC3,rgb_cov_g_b,-0.04267814946428828
PC3,rgb_corr_g_b,-0.0849569218330725
PC3,lab_cov_l_a,0.0512984379931753
PC3,lab_corr_l_a,0.044975312878891636
PC3,lab_cov_l_b,0.08199565110660702
PC3,lab_corr_l_b,0.08003772505564513
PC3,lab_cov_a_b,-0.06893887272454584
PC3,lab_corr_a_b,-0.12620360072378176
PC3,hue_entropy_12bin,0.07149831854499189
PC3,edge_density_canny,0.19118582712974744
PC3,gradient_mag_mean,0.22181283196492926
PC3,gradient_mag_sd,0.19316765841647285
PC3,gradient_mag_p95,0.21095856531940713
PC3,orientation_entropy,0.06706454642664936
PC3,texture_highpass_std,0.21192802106070113
PC3,texture_highpass_mad,0.13015282136281256
PC3,laplacian_variance,0.20177079496445077
PC3,local_contrast_mean,0.21056592082198133
PC3,local_contrast_p95,0.13230181753921783
PC3,image_entropy_gray,0.07516536761637788
PC3,top_luma_mean,-0.012208869230747973
PC3,bottom_luma_mean,0.08299314679169809
PC3,top_bottom_luma_delta,-0.06570909279837289
PC3,left_warmth_mean,0.05632248711158854
PC3,right_warmth_mean,0.046826860291127315
PC3,left_right_warmth_delta,0.013802236608406102
PC3,center_luma_mean,0.15904456016449722
PC3,edge_luma_mean,0.03191410321675613
PC3,center_edge_luma_delta,0.10941880551439621
PC3,color_spatial_var_rgb_r,-0.0593559514125974
PC3,color_spatial_range_rgb_r,-0.07384196711614471
PC3,color_spatial_var_rgb_g,-0.09948334447091545
PC3,color_spatial_range_rgb_g,-0.09418453178777463
PC3,color_spatial_var_rgb_b,-0.1125913874081617
PC3,color_spatial_range_rgb_b,-0.10099083888456838
