target,target_label,method,rank,feature,coefficient,abs_coefficient
light_key,Lighting,Ridge logistic,3,hue_hist_12bin_06,-0.13273835610983928,0.13273835610983928
light_key,Lighting,Ridge logistic,4,fft_radial_loglog_slope,-0.13197036904896664,0.13197036904896664
light_key,Lighting,Ridge logistic,5,lab_sd_b,0.12601657266525562,0.12601657266525562
light_key,Lighting,Ridge logistic,6,local_lab_corr_l_a_p90_abs,-0.12530348161314475,0.12530348161314475
light_key,Lighting,Ridge logistic,7,halation_ring_red_excess_p95,0.12472104754149926,0.12472104754149926
light_key,Lighting,Ridge logistic,8,hue_hist_12bin_01,0.12107100647501935,0.12107100647501935
light_key,Lighting,Ridge logistic,9,hue_hist_12bin_00,0.12087565491823195,0.12087565491823195
light_key,Lighting,Ridge logistic,10,left_warmth_mean,0.12086788797174175,0.12086788797174175
light_key,Lighting,Ridge logistic,11,highlight_fraction,-0.11996251718406645,0.11996251718406645
light_key,Lighting,Ridge logistic,12,hue_warm_share,0.11940254998793813,0.11940254998793813
light_key,Lighting,Ridge logistic,13,warmth_rgb_mean_r_minus_b,0.11611474416210685,0.11611474416210685
light_key,Lighting,Ridge logistic,14,warmth_rgb_mean_rg_minus_b,0.11332065024030173,0.11332065024030173
light_key,Lighting,Ridge logistic,15,highlight_lab_a,0.11094426443314975,0.11094426443314975
light_key,Lighting,Ridge logistic,16,local_lab_corr_a_b_sd,-0.11068204319891202,0.11068204319891202
light_key,Lighting,Ridge logistic,17,hue_hist_12bin_03,-0.10829719488343348,0.10829719488343348
light_key,Lighting,Ridge logistic,18,fft_high_low_power_ratio,-0.10567562184096226,0.10567562184096226
light_key,Lighting,Ridge logistic,19,hue_green_share,-0.10506261731891645,0.10506261731891645
light_key,Lighting,Ridge logistic,20,fft_high_freq_power_share,-0.10489551014411327,0.10489551014411327
light_key,Lighting,Ridge logistic,21,halation_background_red_excess_mean,0.1042310323104243,0.1042310323104243
light_key,Lighting,Ridge logistic,22,color_spatial_range_lab_b,0.10331737353558998,0.10331737353558998
light_key,Lighting,Ridge logistic,23,local_lab_cov_l_b_sd,0.10291774679225661,0.10291774679225661
light_key,Lighting,Ridge logistic,24,hue_red_orange_share,0.10146891704416774,0.10146891704416774
light_key,Lighting,Ridge logistic,25,orientation_entropy,-0.10042863885709055,0.10042863885709055
light_key,Lighting,Ridge logistic,26,midtone_warmth_rgb_r_minus_b,0.0993953178480483,0.0993953178480483
light_key,Lighting,Ridge logistic,27,local_lab_corr_l_a_abs_mean,-0.0991305082723531,0.0991305082723531
light_key,Lighting,Ridge logistic,28,hue_teal_cyan_share,-0.09849084415015665,0.09849084415015665
light_key,Lighting,Ridge logistic,29,lab_mean_b,0.09768740150508953,0.09768740150508953
light_key,Lighting,Ridge logistic,30,local_lab_cov_l_b_p90_abs,0.09578752503877129,0.09578752503877129
light_key,Lighting,Ridge logistic,31,local_lab_cov_l_b_abs_mean,0.09471069225029094,0.09471069225029094
light_key,Lighting,Ridge logistic,32,hue_red_orange_highlight_share,0.0942420817227471,0.0942420817227471
light_key,Lighting,Ridge logistic,33,lab_mean_a,0.09420222330303243,0.09420222330303243
light_key,Lighting,Ridge logistic,34,midtone_lab_b,0.09364622812708939,0.09364622812708939
light_key,Lighting,Ridge logistic,35,midtone_shadow_lab_b_delta,0.09354470264059137,0.09354470264059137
light_key,Lighting,Ridge logistic,36,highlight_minus_shadow_lab_a,0.09326622170792252,0.09326622170792252
light_key,Lighting,Ridge logistic,37,color_spatial_var_lab_b,0.09257496204577104,0.09257496204577104
light_key,Lighting,Ridge logistic,38,lab_corr_l_a,0.0909449204694092,0.0909449204694092
light_key,Lighting,Ridge logistic,39,saturation_mean,0.0903826558137057,0.0903826558137057
light_key,Lighting,Ridge logistic,40,highlight_red_excess,0.0903807393548149,0.0903807393548149
scan_key,Scan,LASSO logistic,1,edge_density_canny,-2.2232124265088196,2.2232124265088196
scan_key,Scan,LASSO logistic,2,texture_highpass_mad,2.043387020664759,2.043387020664759
scan_key,Scan,LASSO logistic,3,shadow_rolloff_ratio,-1.6018266566543786,1.6018266566543786
scan_key,Scan,LASSO logistic,4,laplacian_variance,1.5922527954564434,1.5922527954564434
scan_key,Scan,LASSO logistic,5,color_spatial_var_rgb_b,-1.4041647401142336,1.4041647401142336
scan_key,Scan,LASSO logistic,6,split_tone_distance_lab_ab,-1.1254781262032276,1.1254781262032276
scan_key,Scan,LASSO logistic,7,palette_within_cluster_lab_rmse,-1.0836590305006577,1.0836590305006577
scan_key,Scan,LASSO logistic,8,local_lab_cov_l_a_p90_abs,1.0631720960608204,1.0631720960608204
scan_key,Scan,LASSO logistic,9,local_lab_corr_a_b_mean,-0.8543598882233044,0.8543598882233044
scan_key,Scan,LASSO logistic,10,local_lab_corr_l_b_p90_abs,0.8393646989018444,0.8393646989018444
scan_key,Scan,LASSO logistic,11,local_lab_corr_l_a_mean,0.8323755929754365,0.8323755929754365
scan_key,Scan,LASSO logistic,12,upper_lower_luma_spread_ratio,0.7837084045003907,0.7837084045003907
scan_key,Scan,LASSO logistic,13,local_lab_corr_l_b_mean,-0.7243036976998868,0.7243036976998868
scan_key,Scan,LASSO logistic,14,local_lab_cov_a_b_sd,0.7203313671654864,0.7203313671654864
scan_key,Scan,LASSO logistic,15,shadow_compression_ratio,-0.6776900414528587,0.6776900414528587
scan_key,Scan,LASSO logistic,16,hue_entropy_12bin,-0.6492404216322396,0.6492404216322396
scan_key,Scan,LASSO logistic,17,fft_mid_freq_power_share,0.5668676855110704,0.5668676855110704
scan_key,Scan,LASSO logistic,18,hue_red_orange_highlight_share,-0.5310143088525554,0.5310143088525554
scan_key,Scan,LASSO logistic,19,luma_p50,-0.5059017146547704,0.5059017146547704
scan_key,Scan,LASSO logistic,20,local_lab_cov_l_b_sd,-0.4939123752525917,0.4939123752525917
scan_key,Scan,LASSO logistic,21,hue_hist_12bin_07,0.4740029895920767,0.4740029895920767
scan_key,Scan,LASSO logistic,22,luma_p99,0.42526730402119395,0.42526730402119395
scan_key,Scan,LASSO logistic,23,local_lab_corr_a_b_p90_abs,-0.3959017838911859,0.3959017838911859
scan_key,Scan,LASSO logistic,24,fft_high_mid_power_ratio,0.3952918726553494,0.3952918726553494
scan_key,Scan,LASSO logistic,25,local_lab_corr_l_b_sd,0.3520049321823921,0.3520049321823921
scan_key,Scan,LASSO logistic,26,local_contrast_mean,-0.3357733704306297,0.3357733704306297
scan_key,Scan,LASSO logistic,27,hue_hist_12bin_10,0.3328530360183832,0.3328530360183832
scan_key,Scan,LASSO logistic,28,warm_highlight_excess_mean,0.2759450972972677,0.2759450972972677
scan_key,Scan,LASSO logistic,29,palette_dominant_lab_b,0.27526511224117506,0.27526511224117506
scan_key,Scan,LASSO logistic,30,hue_hist_12bin_08,0.2650340523772513,0.2650340523772513
scan_key,Scan,LASSO logistic,31,halation_index_ring_minus_background,0.24971415053345394,0.24971415053345394
scan_key,Scan,LASSO logistic,32,fft_low_freq_power_share,-0.2451581575164601,0.2451581575164601
scan_key,Scan,LASSO logistic,33,hue_teal_cyan_share,0.22116610364366807,0.22116610364366807
scan_key,Scan,LASSO logistic,34,clipped_shadow_fraction,0.21987569942140262,0.21987569942140262
scan_key,Scan,LASSO logistic,35,local_lab_cov_a_b_p90_abs,0.19863673657905856,0.19863673657905856
scan_key,Scan,LASSO logistic,36,saturation_sd,-0.19559647789042917,0.19559647789042917
scan_key,Scan,LASSO logistic,37,color_spatial_range_lab_b,0.19222884148462194,0.19222884148462194
scan_key,Scan,LASSO logistic,38,highlight_rolloff_ratio,0.1888978732341581,0.1888978732341581
scan_key,Scan,LASSO logistic,39,highlight_compression_ratio,0.17948239895230927,0.17948239895230927
scan_key,Scan,LASSO logistic,40,halation_ring_red_excess_p95,-0.16487439809226687,0.16487439809226687
