model_key,feature,ss_total,condition_share,run_block_share,condition_by_run_share,within_run_replicate_share,condition_to_seed_variance_ratio,n_conditions,n_runs,n_replicates_per_run
xai_grok_imagine,rgb_sd_g,0.17104213382750233,0.6578593623397151,2.3577332127686303e-05,0.11436312910941325,0.227753931218744,1.9227747011827065,24,3,2
xai_grok_imagine,rgb_sd_b,0.3136336984750735,0.754683543063915,1.0838964308250853e-05,0.08117874656313996,0.16412687140863663,3.076367368458047,24,3,2
xai_grok_imagine,warmth_rgb_mean_r_minus_b,0.47289751504448896,0.7268851406558748,0.001742324087181947,0.14076636949038543,0.13060616576655765,2.6614631748761743,24,3,2
xai_grok_imagine,warmth_rgb_mean_rg_minus_b,0.2210242064839997,0.6785274897993728,0.0017728537014449698,0.17289252177489936,0.1468071347242829,2.1106858853216153,24,3,2
xai_grok_imagine,lab_mean_l,10596.302775697783,0.7119105574840457,0.001818657713541667,0.12367946881824361,0.16259131598416884,2.471144208780302,24,3,2
xai_grok_imagine,lab_mean_a,2473.512112836247,0.740700787566718,0.0060489570768172156,0.09052837590585701,0.16272187945060798,2.856548543344691,24,3,2
xai_grok_imagine,lab_mean_b,3060.8675751956243,0.6554397837314336,0.0025777523392427914,0.18584248036464301,0.15613998356468062,1.902250326022994,24,3,2
xai_grok_imagine,lab_sd_l,1327.6093576105782,0.6170309201101526,5.245301455822e-05,0.13114313988505918,0.2517734869902303,1.6111768612955057,24,3,2
xai_grok_imagine,lab_sd_a,1017.5080145088232,0.7290145529455418,0.006587905461985689,0.16731330747417567,0.09708423411829659,2.6902350693357975,24,3,2
xai_grok_imagine,lab_sd_b,1079.1843501244564,0.7042637250145188,0.005951276956794674,0.14387222258941632,0.14591277543927034,2.381391072329877,24,3,2
xai_grok_imagine,lab_chroma_mean,2012.6193215141027,0.7370024908911187,0.01487296015291193,0.12026309813502997,0.12786145082093936,2.8023173808311577,24,3,2
xai_grok_imagine,saturation_mean,1.1633116809296857,0.6792098005514253,0.007470350648237289,0.14051802181098236,0.17280182698935492,2.117302217209128,24,3,2
xai_grok_imagine,saturation_sd,0.29307779882165697,0.6164023062236531,0.002799391763117116,0.15034964221201633,0.23044865980121362,1.606897841734785,24,3,2
xai_grok_imagine,value_mean,1.0185571818978103,0.6950679042588942,0.003548282275125439,0.12578675941606762,0.17559705404991272,2.2794186442381665,24,3,2
xai_grok_imagine,value_sd,0.10303757982040743,0.5382585391681471,0.000337601734025463,0.1710703633742358,0.29033349572359163,1.165714116723338,24,3,2
xai_grok_imagine,luma_mean,0.9562549506654713,0.7135419449248398,0.002038920134126826,0.12187781475392466,0.16254132018710876,2.4909124818906636,24,3,2
xai_grok_imagine,luma_sd,0.15673641406295366,0.6354673740604764,2.3231118446398467e-05,0.12323723740962483,0.24127215741145236,1.7432386810992913,24,3,2
xai_grok_imagine,luma_p01,0.033072467500948714,0.39065587702765087,0.030086415174855614,0.2398790462274331,0.33937866157006036,0.6411087959986416,24,3,2
